id,name,lat,lon,nearest_stop_name,nearest_stop_m,freq_per_h,walk_min,transfers,pt_min,car_min,time_band,adoption_index,likely_adopter
EMP_0000,Harburg,53.50672960380772,10.041700854893671,Gewerbegebiet Obergeorgswerder,488.14989470849764,5.0,6.944553140979828,2.0,73.785930198582,41.9895863552506,>60 min,27.810691057377618,False
EMP_0001,Hamburg-Nord,53.60574804992919,10.051261403020453,Richeystraße,261.32311886464583,174.0,4.10921844293168,0.0,40.284023260281856,18.87089671325231,31-45 min,78.58687345297045,True
EMP_0002,Norderstedt,53.70821717442526,10.016173341801329,"Harksheide, Stormarnstraße",181.5441635594906,77.5,3.11198150161724,0.0,22.283727961635297,6.616966720249153,<=30 min,84.33323875861386,True
EMP_0003,Wandsbek,53.555521173003456,10.121089287307369,Friedhof Öjendorf (Süd-Ring),207.02743497553212,119.5,3.4305223943177587,2.0,64.76924173775105,32.26675843851961,>60 min,37.612895831893034,False
EMP_0004,Hamburg-Mitte,53.55163205211958,9.940741346895651,Altonaer Poststraße,184.78278883735516,464.5,3.152464317590547,2.0,55.30713841576871,34.76474652311396,46-60 min,54.30403889946089,False
EMP_0005,Quickborn,53.72940039418593,9.903421596194162,"Quickborn, Dorotheenplatz",234.83421652560105,45.5,3.7781071636936203,0.0,45.25106727959812,22.22295391501744,46-60 min,76.84635299562026,True
EMP_0006,Bergedorf,53.53858273423364,10.250620886782084,"Schönningstedt, Kornblumenring",502.88374624604216,8.5,7.128726285199134,1.0,78.39393153508118,44.601512913967305,>60 min,39.51061561134553,False
EMP_0007,Harburg,53.46030933619166,9.991293523434008,Schlachthofstraße (Süd),214.10187558509995,153.5,3.518952901937357,3.0,68.0486287886184,53.38382781768837,>60 min,43.81088463476077,False
EMP_0008,Hamburg-Mitte,53.55119492913795,9.990769285767376,Rathausmarkt,204.1040459691545,726.0,3.3939800317380384,2.0,48.70251394732472,32.544612957365,46-60 min,61.99084203637791,True
EMP_0009,Hamburg-Nord,53.57562100906783,9.99426700195718,Sophienterrasse,84.97096120089262,97.5,1.904816472134765,0.0,49.98811017232893,26.90482698309239,46-60 min,74.422661724599,True
EMP_0010,Eimsbuettel,53.561556788168424,9.917059035111409,Bornkampsweg,285.6026819194177,128.5,4.412712981116329,2.0,57.33382284919578,34.28067840952403,46-60 min,50.77994413573035,False
EMP_0011,Ahrensburg,53.68090840289929,10.248925640052795,"Ahrensburg, Ellenbogen",106.63860332239734,46.0,2.175661998653574,0.0,47.32783591169705,27.9608515711184,46-60 min,79.46909770357283,True
EMP_0012,Wandsbek,53.533662375767676,10.093482649269607,Berzeliusstraße 42,128.63215210425838,85.5,2.450581358426837,2.0,57.43852326183588,36.271301108013596,46-60 min,52.61351621525978,False
EMP_0013,Harburg,53.48691084826756,10.028082710193885,Stübenhofer Wettern,321.07219793050626,4.0,4.856081931254935,2.0,73.07454727393915,46.684533552902366,>60 min,31.572712641993647,False
EMP_0014,Hamburg-Nord,53.62310443339832,10.001476905435009,Lufthansa-Basis,345.11941473318365,97.5,5.156672141288403,0.0,33.15532172038632,16.091040376810575,31-45 min,82.93571865642426,True
EMP_0015,Altona,53.53096744756826,9.893918084594441,SWOP,62.04499179576553,5.0,1.6182418545706763,3.0,73.95469381509854,42.05901515914706,>60 min,17.626974436499246,False
EMP_0016,Wandsbek,53.60086592042006,10.120148415151746,Eckerkoppel,128.24489064254323,113.5,2.4457405901553977,0.0,47.233378244791496,22.420763517515443,46-60 min,74.07069615032819,True
EMP_0017,Hamburg-Mitte,53.58479273274608,10.050038925726282,Lämmersieth (Mitte),202.0325755083777,324.0,3.3680866509783285,2.0,38.51251223903871,23.758596221294464,31-45 min,65.24608398225575,True
EMP_0018,Harburg,53.456426252526185,9.923520156792247,Majestätische Aussicht,333.87318114720745,20.0,5.0160942214637,2.0,76.0646511653716,56.390196839354225,>60 min,44.79322009129682,False
EMP_0019,Wandsbek,53.57993808027444,10.111539928022518,Nordmarkstraße,249.5290450160376,54.0,3.9617925198240775,2.0,51.47114587188357,26.44572755232464,46-60 min,51.73900874449929,False
EMP_0020,Bergedorf,53.48453829066516,10.183748354684806,Richard-Gödeke-Weg,86.5274046885343,152.0,1.9242720157302862,2.0,62.518435615082005,50.83354937830828,>60 min,59.55589595568526,False
EMP_0021,Eimsbuettel,53.579556483152615,9.939707345964313,Högenstraße,153.48564847425186,146.0,2.7612500630517554,0.0,54.15768678651216,29.05891891674966,46-60 min,70.32238873698142,True
EMP_0022,Quickborn,53.722644271091504,9.911165822503257,"Quickborn, Schillerstraße",619.078033893191,1.5,8.581154880788494,0.0,61.37598931441436,20.578823365446677,>60 min,38.01483939382513,False
EMP_0023,Pinneberg,53.65456766783609,9.805566728569,"Pinneberg, Waldstraße",488.7007573664984,154.5,6.951438924204837,0.0,54.16990428622526,34.21769803244976,46-60 min,75.46284160311187,True
EMP_0024,Harburg,53.46738389250952,9.928276428827889,Bostelbek,452.1361532969444,15.0,6.494381373335412,2.0,81.1599641223783,53.75157467742369,>60 min,34.51162849385624,False
EMP_0025,Altona,53.539161235948974,9.989504654915713,Arningstraße,369.11911230642045,63.0,5.456668360953863,2.0,60.4155423341778,35.318761702573276,>60 min,47.19544820130656,False
EMP_0026,Hamburg-Nord,53.57382703800148,9.919664846240101,Winsberg (Süd),159.38199779729365,63.0,2.8349544295897777,2.0,62.01441414340059,31.67352435878708,>60 min,41.1519031436862,False
EMP_0027,Hamburg-Mitte,53.49967986072317,10.00132423400214,Berufsschulcampus Elbinsel,92.30620333307365,232.5,1.9965069987870279,2.0,62.15708638071369,44.085555144055945,>60 min,53.3499255729854,False
EMP_0028,Altona,53.55069633509083,9.93054149262565,Bahrenfelder Straße,139.4086651817081,435.0,2.5852877718949587,2.0,53.621475699625464,35.58049096124376,46-60 min,57.648277411805566,False
EMP_0029,Wandsbek,53.628285264876126,9.958011566888356,Helvetierweg,164.0280324442234,45.5,2.8930298626764,0.0,37.743327793422665,18.34249631064319,31-45 min,80.59916851722053,True
EMP_0030,Bergedorf,53.50070091552516,10.280930506614263,"Wentorf, Kirschkoppel",1208.2224107797929,3.0,15.945459591871018,2.0,93.13215943038554,54.168055934844475,>60 min,0.0,False
